Sr.,Symbol / Scrip Name,ISIN,MIS(Intraday),BO(Bracket),CO(Cover)
515,STLTECH,INE089C01029,5x,5x,5x
516,TIPSMUSIC,INE716B01029,5x,5x,5x
517,IOB,INE565A01014,5x,5x,5x
518,TAJGVK,INE586B01026,5x,5x,5x
519,BSOFT,INE836A01035,5x,5x,5x
520,GODREJCP,INE102D01028,5x,5x,5x
521,OLECTRA,INE260D01016,5x,5x,5x
522,MPSLTD,INE943D01017,5x,5x,5x
523,CERA,INE739E01017,5x,5x,5x
524,BHARTIARTL,INE397D01024,5x,5x,5x
525,GULPOLY,INE255D01024,5x,5x,5x
526,PONNIERODE,INE838E01017,5x,5x,5x
527,PNB,INE160A01022,5x,5x,5x
528,OFSS,INE881D01027,5x,5x,5x
529,APTECHT,INE266F01018,5x,5x,5x
530,UNIONBANK,INE692A01016,5x,5x,5x
531,UBL,INE686F01025,5x,5x,5x
532,GRANULES,INE101D01020,5x,5x,5x
533,CANBK,INE476A01022,5x,5x,5x
534,POKARNA,INE637C01025,5x,5x,5x
535,DIVISLAB,INE361B01024,5x,5x,5x
536,ASTRAMICRO,INE386C01029,5x,5x,5x
537,RADICO,INE944F01028,5x,5x,5x
538,MARUTI,INE585B01010,5x,5x,5x
539,NAVINFLUOR,INE048G01026,5x,5x,5x
540,UCOBANK,INE691A01018,5x,5x,5x
541,JSL,INE220G01021,5x,5x,5x
542,SUPRAJIT,INE399C01030,5x,5x,5x
543,TVSELECT,INE236G01019,5x,5x,5x
