EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,SM_FREEZE_QTY,
BSE,I,75,NA,INDEX,75,METAL,METAL,BSE Metals,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,76,NA,INDEX,76,OILGAS,OILGAS,BSE Oil and Gas,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,77,NA,INDEX,77,POWER,POWER,BSE Power,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,78,NA,INDEX,78,BSEPSU,BSEPSU,BSE PSU,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,79,NA,INDEX,79,REALTY,REALTY,BSE Realty,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,80,NA,INDEX,80,TECK,TECK,BSE TECk,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,81,NA,INDEX,81,BSEQUI,BSEQUI,BSEQUI,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,83,NA,INDEX,83,SNSX50,SNSX50,BSE Sensex 50,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,84,NA,INDEX,84,ALLCAP,ALLCAP,BSE AllCap,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,85,NA,INDEX,85,INFRA,INFRA,BSE India Infrastructure Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,86,NA,INDEX,86,CPSE,CPSE,BSE CPSE,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,87,NA,INDEX,87,MFG,MFG,BSE India Mfg,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,88,NA,INDEX,88,UTILS,UTILS,BSE Utilities,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,89,NA,INDEX,89,TELCOM,TELCOM,BSE Telecom,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,90,NA,INDEX,90,SMLSEL,SMLSEL,BSE SmallCap Select Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,91,NA,INDEX,91,COMDTY,COMDTY,BSE Basic Materials,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,92,NA,INDEX,92,ENERGY,ENERGY,BSE Energy,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,93,NA,INDEX,93,FINSER,FINSER,BSE Finance,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,95,NA,INDEX,95,MIDSEL,MIDSEL,BSE MidCap Select Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,96,NA,INDEX,96,CONDIS,CONDIS,Consumer Discretionary Goods & Services,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,97,NA,INDEX,97,INDSTR,INDSTR,BSE Industrials,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,98,NA,INDEX,98,SNXN30,SNXN30,BSE Sensex Next 30,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
